"Client-side URL redirect","Client-side URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///docs/_document.html:80:61:80:80""]].","/docs/_document.html","87","36","87","63"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/lib/marked.esm.js","1090","21","1090","70"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/lib/marked.esm.js","1124","21","1124","70"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/lib/marked.esm.js","1135","21","1135","70"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression only parses --> and not --!> as a HTML comment end tag.","/lib/marked.esm.js","1213","64","1213","66"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/lib/marked.js","1177","21","1177","70"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/lib/marked.js","1200","21","1200","70"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/lib/marked.js","1203","21","1203","70"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression only parses --> and not --!> as a HTML comment end tag.","/lib/marked.js","1267","66","1267","68"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/src/rules.js","81","21","81","70"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/src/rules.js","115","21","115","70"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression does not match upper case <SCRIPT> tags.","/src/rules.js","126","21","126","70"
"Bad HTML filtering regexp","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.","warning","This regular expression only parses --> and not --!> as a HTML comment end tag.","/src/rules.js","204","62","204","64"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/marked.esm.js:2065:17:2065:17""]], which may cause an HTML element injection vulnerability.","/lib/marked.esm.js","2061","12","2065","37"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/marked.js:2095:17:2095:17""]], which may cause an HTML element injection vulnerability.","/lib/marked.js","2094","14","2095","37"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///src/Slugger.js:14:17:14:17""]], which may cause an HTML element injection vulnerability.","/src/Slugger.js","10","12","14","37"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression is constructed from a [[""command-line argument""|""relative:///bin/marked:209:8:209:19""]].","/lib/marked.js","625","38","625","58"
"Regular expression injection","User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.","error","This regular expression is constructed from a [[""command-line argument""|""relative:///bin/marked:209:8:209:19""]].","/src/Tokenizer.js","213","38","213","58"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///docs/demo/demo.js:389:34:389:54""]] is reinterpreted as HTML without escaping meta-characters.","/docs/demo/demo.js","392","25","394","62"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///src/Slugger.js:14:26:14:28""]] that depends on [[""library input""|""relative:///src/Renderer.js:49:24:49:26""]] may run slow on strings starting with '<!' and with many repetitions of '<!'.
This [[""regular expression""|""relative:///src/Slugger.js:14:26:14:28""]] that depends on [[""library input""|""relative:///src/Slugger.js:9:13:9:17""]] may run slow on strings starting with '<!' and with many repetitions of '<!'.
This [[""regular expression""|""relative:///src/Slugger.js:14:26:14:28""]] that depends on [[""library input""|""relative:///src/Slugger.js:45:8:45:12""]] may run slow on strings starting with '<!' and with many repetitions of '<!'.","/src/Slugger.js","10","12","14","37"
