"Unsafe shell command constructed from library input","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This string concatenation which depends on [[""library input""|""relative:///lib/libnmap.js:62:30:62:32""]] is later used in a [[""shell command""|""relative:///lib/classes/tools.js:114:25:117:10""]].
This string concatenation which depends on [[""library input""|""relative:///lib/libnmap.js:91:26:91:28""]] is later used in a [[""shell command""|""relative:///lib/classes/tools.js:114:25:117:10""]].","/lib/classes/tools.js","150","16","150","49"
"Unsafe shell command constructed from library input","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This string concatenation which depends on [[""library input""|""relative:///lib/libnmap.js:62:30:62:32""]] is later used in a [[""shell command""|""relative:///lib/classes/tools.js:114:25:117:10""]].
This string concatenation which depends on [[""library input""|""relative:///lib/libnmap.js:62:30:62:32""]] is later used in a [[""shell command""|""relative:///lib/classes/tools.js:114:25:117:10""]].
This string concatenation which depends on [[""library input""|""relative:///lib/libnmap.js:62:30:62:32""]] is later used in a [[""shell command""|""relative:///lib/classes/tools.js:114:25:117:10""]].
This string concatenation which depends on [[""library input""|""relative:///lib/libnmap.js:91:26:91:28""]] is later used in a [[""shell command""|""relative:///lib/classes/tools.js:114:25:117:10""]].
This string concatenation which depends on [[""library input""|""relative:///lib/libnmap.js:91:26:91:28""]] is later used in a [[""shell command""|""relative:///lib/classes/tools.js:114:25:117:10""]].","/lib/classes/tools.js","155","7","155","71"
"Unsafe shell command constructed from library input","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This string concatenation which depends on [[""library input""|""relative:///lib/libnmap.js:62:30:62:32""]] is later used in a [[""shell command""|""relative:///lib/classes/tools.js:114:25:117:10""]].
This string concatenation which depends on [[""library input""|""relative:///lib/libnmap.js:91:26:91:28""]] is later used in a [[""shell command""|""relative:///lib/classes/tools.js:114:25:117:10""]].","/lib/classes/tools.js","156","7","156","55"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///lib/classes/validation.js:87:1093:87:1095""]] that depends on [[""library input""|""relative:///lib/libnmap.js:62:30:62:32""]] may run slow on strings starting with '::' and with many repetitions of ' '.
This [[""regular expression""|""relative:///lib/classes/validation.js:87:1093:87:1095""]] that depends on [[""library input""|""relative:///lib/libnmap.js:91:26:91:28""]] may run slow on strings starting with '::' and with many repetitions of ' '.","/lib/classes/validation.js","179","12","179","26"
