code-injection	mol-proto_0.1.3
code-injection	serialize-javascript_2.0.0
code-injection	serialize-to-js_0.5.0
code-injection	static-eval_1.1.1
command-injection	bestzip_2.1.6
command-injection	codecov_3.6.4
command-injection	command-exists_1.2.2
command-injection	diskusage-ng_0.2.6
command-injection	extra-asciinema_1.0.0
command-injection	thi.ng-egf_0.3.0
path-traversal	hostr_2.0.0
path-traversal	node-srv_2.0.0
path-traversal	public_0.1.2
path-traversal	serve-here.js_1.1.0
path-traversal	vivaxy-here_3.1.0
prototype-pollution	algoliasearch-helper_3.6.0
prototype-pollution	aws-sdk-shared-ini-file-loader_1.0.0-rc.8
prototype-pollution	bodymen_1.0.0
prototype-pollution	connie_0.1.0
prototype-pollution	controlled-merge_1.0.0
prototype-pollution	doc-path_2.0.0
prototype-pollution	dotty_0.0.1
prototype-pollution	extend_3.0.1
prototype-pollution	fast-json-patch_2.0.4
prototype-pollution	firebase-util_0.3.3-canary.c47ba31d0
prototype-pollution	i18next_19.7.0
prototype-pollution	immer_8.0.0
prototype-pollution	jointjs_2.2.1
prototype-pollution	jquery_1.11.0
prototype-pollution	js-ini_1.2.0
prototype-pollution	just-safe-set_1.0.0
prototype-pollution	lodash_4.17.15
prototype-pollution	mathjs_7.4.0
prototype-pollution	mithril_1.0.0
prototype-pollution	mpath_0.4.1
prototype-pollution	mquery_3.2.1
prototype-pollution	nested-property_0.0.5
prototype-pollution	nestie_1.0.0
prototype-pollution	object-collider_1.0.3
prototype-pollution	objection_2.0.0
prototype-pollution	objnest_5.0.0
prototype-pollution	plain-object-merge_1.0.1
prototype-pollution	prototyped.js_2.0.0
prototype-pollution	querymen_2.1.3
prototype-pollution	set-object-value_0.0.5
prototype-pollution	shvl_2.0.1
prototype-pollution	supermixer_1.0.3
prototype-pollution	swiper_6.5.0
prototype-pollution	think-config_1.0.0
prototype-pollution	ts-dot-prop_1.4.0
prototype-pollution	tsed-core_5.62.3
prototype-pollution	utilitify_1.0.2
redos	cejs_2.0.20170212
redos	chrono-node_2.2.3
redos	codemirror_5.58.0
redos	content_3.0.5
redos	conventional-commits-parser_3.2.0
redos	ducktype_1.2.0
redos	ethers_5.2.0
redos	fast-csv_4.3.5
redos	glob-parent_5.0.0
redos	highlight.js_10.4.0
redos	is-svg_4.2.2
redos	jspdf_2.1.1
redos	locutus_2.0.10
redos	lodash_4.17.4
redos	markdown-it_9.1.0
redos	marked_0.3.6
redos	mime_1.4.0
redos	minimatch_3.0.0
redos	postcss_8.0.0
redos	ramda_0.27.1
redos	react-native_0.63.0-rc.0
redos	semver-regex_3.1.1
redos	simple-markdown_0.7.2
redos	ua-parser-js_0.7.22
redos	validator_13.5.2
redos	ws_7.0.0
